144,1/11/00,SGD/USD,1.669
145,1/11/00,DKK/USD,7.214
146,1/11/00,JPY/USD,106.09
147,1/11/00,MYR/USD,3.8
148,1/11/00,NOK/USD,7.969
149,1/11/00,SEK/USD,8.397
150,1/11/00,LKR/USD,73.35
151,1/11/00,CHF/USD,1.5605
152,1/11/00,TWD/USD,30.83
153,1/11/00,THB/USD,37.61
154,1/12/00,AUD/USD,1.5202
155,1/12/00,EUR/USD,0.9727
156,1/12/00,NZD/USD,1.9286
157,1/12/00,GPB/USD,0.6073
158,1/12/00,BRL/USD,1.835
159,1/12/00,CAD/USD,1.455
160,1/12/00,CNY/USD,8.2796
161,1/12/00,HKD/USD,7.7787
162,1/12/00,INR/USD,43.6
163,1/12/00,KRW/USD,1144.5
164,1/12/00,MXN/USD,9.515
165,1/12/00,ZAR/USD,6.0685
166,1/12/00,SGD/USD,1.669
167,1/12/00,DKK/USD,7.236
168,1/12/00,JPY/USD,105.76
169,1/12/00,MYR/USD,3.8
170,1/12/00,NOK/USD,7.977
171,1/12/00,SEK/USD,8.418
172,1/12/00,LKR/USD,73.35
173,1/12/00,CHF/USD,1.566
174,1/12/00,TWD/USD,30.8
175,1/12/00,THB/USD,37.54
176,1/13/00,AUD/USD,1.4954
177,1/13/00,EUR/USD,0.9737
178,1/13/00,NZD/USD,1.9084
179,1/13/00,GPB/USD,0.6067
180,1/13/00,BRL/USD,1.814
181,1/13/00,CAD/USD,1.4495
182,1/13/00,CNY/USD,8.2798
183,1/13/00,HKD/USD,7.7788
184,1/13/00,INR/USD,43.55
185,1/13/00,KRW/USD,1135.5
186,1/13/00,MXN/USD,9.51
187,1/13/00,ZAR/USD,6.057
188,1/13/00,SGD/USD,1.67
189,1/13/00,DKK/USD,7.252
190,1/13/00,JPY/USD,106.09
191,1/13/00,MYR/USD,3.8
192,1/13/00,NOK/USD,7.9425
193,1/13/00,SEK/USD,8.417
194,1/13/00,LKR/USD,73.35
195,1/13/00,CHF/USD,1.5707
196,1/13/00,TWD/USD,30.8
197,1/13/00,THB/USD,37.49
198,1/14/00,AUD/USD,1.5004
199,1/14/00,EUR/USD,0.9874
200,1/14/00,NZD/USD,1.9186
201,1/14/00,GPB/USD,0.6115
202,1/14/00,BRL/USD,1.805
203,1/14/00,CAD/USD,1.4497
204,1/14/00,CNY/USD,8.2797
205,1/14/00,HKD/USD,7.7789
206,1/14/00,INR/USD,43.55
207,1/14/00,KRW/USD,1125.0
208,1/14/00,MXN/USD,9.455
209,1/14/00,ZAR/USD,6.075
210,1/14/00,SGD/USD,1.6752
211,1/14/00,DKK/USD,7.347
212,1/14/00,JPY/USD,105.86
213,1/14/00,MYR/USD,3.8
214,1/14/00,NOK/USD,7.997
215,1/14/00,SEK/USD,8.474
216,1/14/00,LKR/USD,73.35
217,1/14/00,CHF/USD,1.5945
218,1/14/00,TWD/USD,30.83
219,1/14/00,THB/USD,37.55
220,1/18/00,AUD/USD,1.506
221,1/18/00,EUR/USD,0.988
222,1/18/00,NZD/USD,1.9342
223,1/18/00,GPB/USD,0.6105
224,1/18/00,BRL/USD,1.7942
225,1/18/00,CAD/USD,1.4502
226,1/18/00,CNY/USD,8.2793
227,1/18/00,HKD/USD,7.779
228,1/18/00,INR/USD,43.6
229,1/18/00,KRW/USD,1127.0
230,1/18/00,MXN/USD,9.441
231,1/18/00,ZAR/USD,6.089
232,1/18/00,SGD/USD,1.6735
233,1/18/00,DKK/USD,7.356
234,1/18/00,JPY/USD,105.49
235,1/18/00,MYR/USD,3.8
236,1/18/00,NOK/USD,8.01
237,1/18/00,SEK/USD,8.468
238,1/18/00,LKR/USD,72.85
239,1/18/00,CHF/USD,1.5942
240,1/18/00,TWD/USD,30.89
241,1/18/00,THB/USD,37.4
242,1/19/00,AUD/USD,1.5074
243,1/19/00,EUR/USD,0.9886
244,1/19/00,NZD/USD,1.9399
245,1/19/00,GPB/USD,0.6083
246,1/19/00,BRL/USD,1.793
247,1/19/00,CAD/USD,1.4527
248,1/19/00,CNY/USD,8.2797
249,1/19/00,HKD/USD,7.7798
250,1/19/00,INR/USD,43.6
251,1/19/00,KRW/USD,1134.0
252,1/19/00,MXN/USD,9.418
253,1/19/00,ZAR/USD,6.114
254,1/19/00,SGD/USD,1.6753
255,1/19/00,DKK/USD,7.3655
256,1/19/00,JPY/USD,105.39
257,1/19/00,MYR/USD,3.8
258,1/19/00,NOK/USD,8.0
259,1/19/00,SEK/USD,8.487
260,1/19/00,LKR/USD,73.2
261,1/19/00,CHF/USD,1.5965
262,1/19/00,TWD/USD,30.85
263,1/19/00,THB/USD,37.4
264,1/20/00,AUD/USD,1.5002
265,1/20/00,EUR/USD,0.9869
266,1/20/00,NZD/USD,1.9486
267,1/20/00,GPB/USD,0.6047
268,1/20/00,BRL/USD,1.7785
269,1/20/00,CAD/USD,1.4484
270,1/20/00,CNY/USD,8.2794
271,1/20/00,HKD/USD,7.7795
272,1/20/00,INR/USD,43.6
273,1/20/00,KRW/USD,1126.0
274,1/20/00,MXN/USD,9.408
275,1/20/00,ZAR/USD,6.1
276,1/20/00,SGD/USD,1.6765
277,1/20/00,DKK/USD,7.343
278,1/20/00,JPY/USD,105.45
279,1/20/00,MYR/USD,3.8
280,1/20/00,NOK/USD,7.977
281,1/20/00,SEK/USD,8.468
282,1/20/00,LKR/USD,72.95
283,1/20/00,CHF/USD,1.5915
284,1/20/00,TWD/USD,30.85
285,1/20/00,THB/USD,37.28
286,1/21/00,AUD/USD,1.5103
287,1/21/00,EUR/USD,0.9901
288,1/21/00,NZD/USD,1.9592
289,1/21/00,GPB/USD,0.6059
290,1/21/00,BRL/USD,1.78
291,1/21/00,CAD/USD,1.442
292,1/21/00,CNY/USD,8.2795
293,1/21/00,HKD/USD,7.7792
294,1/21/00,INR/USD,43.6
295,1/21/00,KRW/USD,1128.0
296,1/21/00,MXN/USD,9.447
297,1/21/00,ZAR/USD,6.128
298,1/21/00,SGD/USD,1.681
299,1/21/00,DKK/USD,7.3725
300,1/21/00,JPY/USD,104.96
301,1/21/00,MYR/USD,3.8
302,1/21/00,NOK/USD,7.999
303,1/21/00,SEK/USD,8.493
304,1/21/00,LKR/USD,73.3
305,1/21/00,CHF/USD,1.5973
306,1/21/00,TWD/USD,30.85
